Cuisines,City,Rating_text,Price Range,Online Delivery,Table Booking,Average Cost for Two,cluster
628,89,5,3.0,1,1,1600.0,0
1812,89,1,3.0,0,1,1500.0,0
428,89,5,2.0,1,0,850.0,0
1046,89,5,3.0,0,1,1850.0,0
1475,89,5,3.0,0,1,1600.0,0
373,89,1,2.0,1,1,900.0,0
898,51,1,4.0,0,0,2000.0,0
1065,51,4,4.0,0,1,2000.0,0
1276,89,5,4.0,0,0,2200.0,0
1519,51,1,3.0,1,1,1800.0,0
708,89,1,2.0,0,0,900.0,0
1276,51,5,4.0,0,0,2200.0,0
739,51,5,3.0,0,1,1500.0,0
1505,89,5,3.0,1,1,1900.0,0
1525,89,2,3.0,0,0,1000.0,0
1511,89,2,3.0,0,1,1200.0,0
913,89,2,3.0,0,1,1600.0,0
1339,89,5,3.0,0,0,1200.0,0
1707,89,5,2.0,1,0,500.0,0
628,89,5,3.0,0,1,1600.0,0
718,64,1,3.0,0,0,1200.0,0
1084,64,5,3.0,1,0,1200.0,0
1334,64,1,3.0,0,0,1600.0,0
720,64,5,3.0,1,0,1000.0,0
1334,64,1,3.0,0,0,1600.0,0
360,64,5,3.0,0,1,1000.0,0
224,64,5,3.0,1,1,1000.0,0
1803,64,5,3.0,1,1,1800.0,0
794,64,5,3.0,0,0,1900.0,0
121,64,1,3.0,1,0,1400.0,0
253,64,1,2.0,1,1,800.0,0
508,64,2,3.0,0,0,1000.0,0
1680,64,5,2.0,0,0,800.0,0
1396,64,5,3.0,0,1,1200.0,0
1311,64,5,3.0,0,1,1600.0,0
550,64,5,2.0,1,0,900.0,0
694,64,2,3.0,1,0,1050.0,0
1375,64,5,3.0,0,1,1400.0,0
752,64,2,3.0,0,1,1500.0,0
1406,64,2,3.0,0,1,1500.0,0
1276,85,5,3.0,0,0,1500.0,0
1480,85,1,3.0,1,1,1000.0,0
434,85,5,3.0,1,1,1000.0,0
394,85,2,3.0,0,1,1000.0,0
1399,85,2,3.0,0,1,1000.0,0
1588,85,1,3.0,0,0,1500.0,0
1762,85,5,3.0,0,0,1200.0,0
954,85,0,2.0,0,1,850.0,0
685,85,2,3.0,0,0,1100.0,0
1311,85,5,3.0,1,0,1500.0,0
32,85,1,2.0,0,0,500.0,0
434,85,5,3.0,1,1,1000.0,0
115,85,5,3.0,0,0,1000.0,0
434,85,2,3.0,0,1,1000.0,0
1623,85,1,2.0,1,0,800.0,0
1623,85,5,2.0,0,0,800.0,0
190,85,2,2.0,1,0,700.0,0
434,85,2,3.0,1,1,1000.0,0
837,85,5,3.0,0,0,1500.0,0
1058,85,2,3.0,0,1,1500.0,0
143,14,5,3.0,0,1,1200.0,0
1035,14,1,4.0,0,0,2000.0,0
30,14,1,2.0,1,0,800.0,0
635,14,1,2.0,0,0,950.0,0
916,14,1,3.0,1,1,1800.0,0
1276,14,5,3.0,0,0,1500.0,0
627,14,1,3.0,0,0,1500.0,0
1627,14,1,2.0,0,0,600.0,0
806,14,2,3.0,0,1,1300.0,0
190,14,5,2.0,0,0,800.0,0
1627,14,5,2.0,1,0,600.0,0
820,14,1,3.0,0,0,1400.0,0
1369,14,5,1.0,1,0,400.0,0
694,14,2,3.0,0,0,1400.0,0
626,14,5,3.0,0,0,1200.0,0
1627,14,1,2.0,0,0,600.0,0
115,14,1,4.0,1,1,2400.0,0
1519,14,5,3.0,1,1,1300.0,0
1276,14,5,3.0,1,0,1500.0,0
1446,14,5,3.0,0,1,1400.0,0
1276,107,5,3.0,0,0,1500.0,0
809,107,1,3.0,0,0,1000.0,0
1048,107,5,2.0,1,1,800.0,0
1319,107,1,3.0,0,1,1500.0,0
1311,107,5,3.0,0,1,1000.0,0
909,107,5,3.0,0,1,1000.0,0
897,107,5,3.0,0,1,1000.0,0
497,107,5,2.0,0,1,900.0,0
1551,107,5,3.0,0,1,1400.0,0
737,107,5,3.0,0,1,1200.0,0
1425,107,2,3.0,0,1,1200.0,0
427,107,5,2.0,1,0,850.0,0
1519,107,1,3.0,0,0,1700.0,0
742,107,5,3.0,1,0,1800.0,0
799,107,5,3.0,0,1,1500.0,0
1506,107,2,4.0,1,1,2100.0,0
1220,107,1,3.0,1,1,1800.0,0
742,107,5,4.0,1,0,2000.0,0
1075,107,5,3.0,0,0,1000.0,0
1339,107,5,3.0,1,1,1500.0,0
820,55,1,3.0,0,0,1500.0,0
1221,55,1,3.0,1,1,1800.0,0
1049,55,5,3.0,0,1,1200.0,0
1221,55,1,3.0,1,0,1800.0,0
1317,55,5,3.0,0,1,1100.0,0
1427,55,5,3.0,0,1,1200.0,0
641,55,5,3.0,0,0,1400.0,0
820,55,1,3.0,0,0,1500.0,0
1686,55,2,3.0,0,1,1500.0,0
1334,55,2,3.0,1,0,1100.0,0
978,55,5,3.0,0,1,1400.0,0
1295,55,5,3.0,1,1,1500.0,0
1334,117,5,2.0,1,1,850.0,0
187,55,1,2.0,0,0,600.0,0
1491,55,5,3.0,0,1,1900.0,0
1209,55,5,4.0,1,1,2000.0,0
1564,55,5,2.0,1,1,700.0,0
392,55,5,3.0,1,0,1800.0,0
371,117,1,2.0,0,1,800.0,0
770,55,1,2.0,0,0,500.0,0
1502,26,1,3.0,0,0,1400.0,0
1710,26,5,3.0,0,1,1000.0,0
1335,26,2,2.0,1,1,800.0,0
1221,26,1,3.0,1,1,1700.0,0
652,26,1,3.0,1,1,1500.0,0
1334,26,5,2.0,0,1,900.0,0
814,26,5,2.0,1,1,800.0,0
1534,26,5,2.0,1,1,850.0,0
1446,26,1,3.0,0,0,1600.0,0
1311,26,1,3.0,1,1,1200.0,0
1033,26,1,1.0,0,0,350.0,0
1406,26,5,4.0,0,0,2000.0,0
1534,26,5,2.0,1,1,850.0,0
252,26,2,2.0,1,0,900.0,0
1534,26,5,2.0,1,1,850.0,0
399,26,5,1.0,1,0,450.0,0
1087,26,5,3.0,1,1,1500.0,0
371,26,5,3.0,0,0,1100.0,0
650,26,5,2.0,1,1,750.0,0
802,26,5,3.0,1,1,1200.0,0
1034,70,5,3.0,0,0,1000.0,0
1311,70,1,4.0,0,0,1600.0,0
1378,70,5,3.0,0,0,1200.0,0
1527,70,5,3.0,0,0,1100.0,0
345,70,5,2.0,0,0,400.0,0
1291,70,1,1.0,0,0,300.0,0
367,70,5,3.0,0,0,1000.0,0
1207,70,5,3.0,0,0,1300.0,0
1279,70,5,2.0,0,0,400.0,0
1438,70,5,4.0,0,0,2000.0,0
433,70,5,2.0,0,0,400.0,0
1525,70,5,3.0,0,0,1000.0,0
401,70,5,2.0,0,0,700.0,0
722,70,2,3.0,0,0,1000.0,0
421,70,5,2.0,0,0,450.0,0
775,70,1,1.0,0,0,200.0,0
401,70,2,2.0,0,0,450.0,0
793,70,5,3.0,0,0,1000.0,0
1406,70,2,3.0,0,0,1100.0,0
372,70,2,2.0,0,0,650.0,0
380,63,5,2.0,1,0,700.0,0
1163,63,5,2.0,0,0,900.0,0
332,63,5,1.0,0,0,400.0,0
801,63,5,2.0,0,0,600.0,0
1110,63,5,3.0,0,0,1000.0,0
838,63,5,1.0,1,0,400.0,0
1495,63,5,3.0,0,0,1000.0,0
347,63,5,2.0,1,0,650.0,0
604,63,2,3.0,1,0,1000.0,0
