,City,Rating,Votes,Price Range,Online Delivery,Table Booking,Average Cost for Two
0,New Delhi,4.3,7931,3,Yes,Yes,1600
1,New Delhi,4.5,778,3,No,Yes,1500
2,New Delhi,4.4,1537,2,Yes,No,850
3,New Delhi,4.1,1823,3,No,Yes,1850
4,New Delhi,4.4,840,3,No,Yes,1600
5,New Delhi,4.6,1071,2,Yes,Yes,900
6,Gurgaon,4.6,2093,4,No,No,2000
7,Gurgaon,2.4,2412,4,No,Yes,2000
8,New Delhi,4.4,1942,4,No,No,2200
9,Gurgaon,4.5,1262,3,Yes,Yes,1800
10,New Delhi,4.6,1136,2,No,No,900
11,Gurgaon,4.3,4385,4,No,No,2200
12,Gurgaon,4.2,1809,3,No,Yes,1500
13,New Delhi,4.3,1129,3,Yes,Yes,1900
14,New Delhi,3.7,3010,3,No,No,1000
15,New Delhi,3.9,1379,3,No,Yes,1200
16,New Delhi,3.7,1801,3,No,Yes,1600
17,New Delhi,4.2,621,3,No,No,1200
18,New Delhi,4.3,5172,2,Yes,No,500
19,New Delhi,4.1,1959,3,No,Yes,1600
20,Kolkata,4.8,1424,3,No,No,1200
21,Kolkata,4.2,1103,3,Yes,No,1200
22,Kolkata,4.9,1753,3,No,No,1600
23,Kolkata,4.3,7574,3,Yes,No,1000
24,Kolkata,4.9,5966,3,No,No,1600
25,Kolkata,4.0,1126,3,No,Yes,1000
26,Kolkata,4.4,1778,3,Yes,Yes,1000
27,Kolkata,4.0,911,3,Yes,Yes,1800
28,Kolkata,4.4,2224,3,No,No,1900
29,Kolkata,4.6,945,3,Yes,No,1400
30,Kolkata,4.6,1219,2,Yes,Yes,800
31,Kolkata,3.9,326,3,No,No,1000
32,Kolkata,4.2,2584,2,No,No,800
33,Kolkata,4.2,704,3,No,Yes,1200
34,Kolkata,4.1,1616,3,No,Yes,1600
35,Kolkata,4.2,5288,2,Yes,No,900
36,Kolkata,3.5,4464,3,Yes,No,1050
37,Kolkata,4.4,1484,3,No,Yes,1400
38,Kolkata,3.6,1040,3,No,Yes,1500
39,Kolkata,3.9,1064,3,No,Yes,1500
40,Mumbai,4.3,1240,3,No,No,1500
41,Mumbai,4.7,2083,3,Yes,Yes,1000
42,Mumbai,4.1,2040,3,Yes,Yes,1000
43,Mumbai,3.8,146,3,No,Yes,1000
44,Mumbai,3.8,181,3,No,Yes,1000
45,Mumbai,4.9,3244,3,No,No,1500
46,Mumbai,4.0,536,3,No,No,1200
47,Mumbai,3.4,170,2,No,Yes,850
48,Mumbai,3.8,617,3,No,No,1100
49,Mumbai,4.2,3370,3,Yes,No,1500
50,Mumbai,4.6,413,2,No,No,500
51,Mumbai,4.1,1295,3,Yes,Yes,1000
52,Mumbai,4.0,156,3,No,No,1000
53,Mumbai,3.9,317,3,No,Yes,1000
54,Mumbai,4.5,2662,2,Yes,No,800
55,Mumbai,4.0,5145,2,No,No,800
56,Mumbai,3.9,2076,2,Yes,No,700
57,Mumbai,3.6,1515,3,Yes,Yes,1000
58,Mumbai,4.2,1606,3,No,No,1500
59,Mumbai,3.9,885,3,No,Yes,1500
60,Bangalore,4.4,983,3,No,Yes,1200
61,Bangalore,4.8,10934,4,No,No,2000
62,Bangalore,4.7,9667,2,Yes,No,800
63,Bangalore,4.7,276,2,No,No,950
64,Bangalore,4.5,5705,3,Yes,Yes,1800
65,Bangalore,4.4,754,3,No,No,1500
66,Bangalore,4.5,1288,3,No,No,1500
67,Bangalore,4.6,627,2,No,No,600
68,Bangalore,3.9,1354,3,No,Yes,1300
69,Bangalore,4.0,3533,2,No,No,800
70,Bangalore,4.3,1413,2,Yes,No,600
71,Bangalore,4.6,6907,3,No,No,1400
72,Bangalore,4.3,753,1,Yes,No,400
73,Bangalore,3.9,405,3,No,No,1400
74,Bangalore,4.2,334,3,No,No,1200
75,Bangalore,4.6,781,2,No,No,600
76,Bangalore,4.7,2369,4,Yes,Yes,2400
77,Bangalore,4.1,2416,3,Yes,Yes,1300
78,Bangalore,4.2,231,3,Yes,No,1500
79,Bangalore,4.1,5385,3,No,Yes,1400
80,Pune,4.3,868,3,No,No,1500
81,Pune,4.8,2510,3,No,No,1000
82,Pune,4.1,997,2,Yes,Yes,800
83,Pune,4.5,1099,3,No,Yes,1500
84,Pune,4.4,208,3,No,Yes,1000
85,Pune,4.1,1143,3,No,Yes,1000
86,Pune,4.1,377,3,No,Yes,1000
87,Pune,4.4,635,2,No,Yes,900
88,Pune,4.2,306,3,No,Yes,1400
89,Pune,4.2,1531,3,No,Yes,1200
