,ID,Name,Cuisines,Address,City,Rating,Rating_text,Votes,Price Range,Latitude,Longitude,Online Delivery,Table Booking,Average Cost for Two,Photo_urls,Url
0,308322,Hauz Khas Social,"Continental, American, Asian, North Indian","9-A & 12, Hauz Khas Village, New Delhi",New Delhi,4.3,Very Good,7931,3,28.5542851000,77.1944706000,Yes,Yes,1600,https://www.zomato.com/HauzKhasSocial/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/HauzKhasSocial?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
1,18037817,Qubitos - The Terrace Cafe,"Thai, European, Mexican, North Indian, Chinese, Cafe","C-7, Vishal Enclave, Opposite Metro Pillar 417, Rajouri Garden, New Delhi",New Delhi,4.5,Excellent,778,3,28.6471325000,77.1177015000,No,Yes,1500,https://www.zomato.com/ncr/qubitos-the-terrace-cafe-rajouri-garden-new-delhi/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/ncr/qubitos-the-terrace-cafe-rajouri-garden-new-delhi?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
2,312345,The Hudson Cafe,"Cafe, Italian, Continental, Chinese","2524, 1st Floor, Hudson Lane, Delhi University-GTB Nagar, New Delhi",New Delhi,4.4,Very Good,1537,2,28.6949468000,77.2043172000,Yes,No,850,https://www.zomato.com/ncr/the-hudson-cafe-delhi-university-gtb-nagar-new-delhi/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/ncr/the-hudson-cafe-delhi-university-gtb-nagar-new-delhi?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
3,307490,Summer House Cafe,"Italian, Continental","1st Floor, DDA Shopping Complex, Aurobindo Place, Hauz Khas, New Delhi",New Delhi,4.1,Very Good,1823,3,28.5525204000,77.2038090000,No,Yes,1850,https://www.zomato.com/ncr/summer-house-cafe-hauz-khas-new-delhi/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/ncr/summer-house-cafe-hauz-khas-new-delhi?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
4,18241537,38 Barracks,"North Indian, Italian, Asian, American","M-38, Outer Circle, Connaught Place, New Delhi",New Delhi,4.4,Very Good,840,3,28.6330248887,77.2228584811,No,Yes,1600,https://www.zomato.com/ncr/38-barracks-connaught-place-new-delhi/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/ncr/38-barracks-connaught-place-new-delhi?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
5,18161577,Spezia Bistro,"Cafe, Continental, Chinese, Italian","2525, 1st Floor, Hudson Lane, Delhi University-GTB Nagar, New Delhi",New Delhi,4.6,Excellent,1071,2,28.6948390000,77.2041413000,Yes,Yes,900,https://www.zomato.com/ncr/spezia-bistro-delhi-university-gtb-nagar-new-delhi/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/ncr/spezia-bistro-delhi-university-gtb-nagar-new-delhi?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
6,303960,Manhattan Brewery & Bar Exchange,"Finger Food, American, Continental, North Indian, Italian","1st Floor, Global Foyer Mall, Sector 43, Golf Course Road, Gurgaon",Gurgaon,4.6,Excellent,2093,4,28.4602710000,77.0950273000,No,No,2000,https://www.zomato.com/ncr/manhattan-brewery-bar-exchange-golf-course-road-gurgaon/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/ncr/manhattan-brewery-bar-exchange-golf-course-road-gurgaon?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7,306134,The Wine Company,"Italian, European","Cyber Hub, DLF Cyber City, Gurgaon",Gurgaon,2.4,Poor,2412,4,28.4962285000,77.0890476000,No,Yes,2000,https://www.zomato.com/ncr/the-wine-company-dlf-cyber-city-gurgaon/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/ncr/the-wine-company-dlf-cyber-city-gurgaon?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
8,18233593,Farzi Cafe,Modern Indian,"38/39, Level 1, Block E , Inner Circle, Connaught Place, New Delhi",New Delhi,4.4,Very Good,1942,4,28.6323984000,77.2214296000,No,No,2200,https://www.zomato.com/ncr/farzi-cafe-connaught-place-new-delhi/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/ncr/farzi-cafe-connaught-place-new-delhi?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
9,7528,Indian Grill Room,"North Indian, Mughlai","315, 3rd Floor, Suncity Business Tower, Golf Course Road, Gurgaon",Gurgaon,4.5,Excellent,1262,3,28.4334574000,77.1052774000,Yes,Yes,1800,https://www.zomato.com/ncr/indian-grill-room-golf-course-road-gurgaon/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/ncr/indian-grill-room-golf-course-road-gurgaon?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
