ID,Name,Cuisines,Address,City,Rating,Rating_text,Votes,Price Range,Online Delivery,Table Booking,Average Cost for Two,Photo_urls,Menu_urls
3286,2892,628,3035,89,26,5,1011,2,1,1,84,23,23
5637,5151,1812,4199,89,28,1,659,2,0,1,81,6807,6807
4042,6676,428,1438,89,27,5,871,1,1,0,67,8351,8351
3138,6148,1046,1015,89,24,5,912,2,0,1,89,7908,7908
6155,51,1475,6144,89,27,5,687,2,0,1,84,1320,1320
5825,6023,373,1440,89,29,1,769,1,1,1,68,7718,7718
2631,4028,898,1023,51,29,1,939,3,0,0,92,5577,5577
2939,6883,1065,4341,51,7,4,954,3,0,1,92,8520,8520
6087,2308,1276,2050,89,27,5,927,3,0,0,94,3801,3801
1450,3140,1519,1881,51,28,1,811,2,1,1,88,4695,4695
6498,1199,708,4922,89,29,1,787,1,0,0,68,2608,2608
3228,2308,1276,2792,51,26,5,997,3,0,0,94,3802,3802
5820,4257,739,2375,51,25,5,908,2,0,1,81,5815,5815
6551,3013,1505,6115,89,26,5,785,2,1,1,90,4594,4594
3794,4411,1525,6398,89,20,2,977,2,0,0,71,5985,5985
6101,2286,1511,6409,89,22,2,839,2,0,1,75,3878,3878
6133,6283,913,1555,89,20,2,906,2,0,1,84,8021,8021
5557,6438,1339,5553,89,25,5,563,2,0,0,75,8149,8149
245,5587,1707,6918,89,26,5,1003,1,1,0,55,7235,7235
6210,4668,628,986,89,24,5,929,2,0,1,84,31,31
5589,6039,718,2510,64,31,1,845,2,0,0,75,1033,1033
6234,2974,1084,2365,64,25,5,778,2,1,0,75,1024,1024
1948,665,1334,1349,64,32,1,901,2,0,0,84,1019,1019
1940,4917,720,925,64,26,5,1010,2,1,0,71,1030,1030
1942,665,1334,5900,64,32,1,1008,2,0,0,84,1020,1020
5590,7289,360,446,64,23,5,784,2,0,1,71,1036,1036
1938,69,224,2597,64,27,5,905,2,1,1,71,1017,1017
1949,6249,1803,4911,64,23,5,722,2,1,1,88,1034,1034
1945,6684,794,2588,64,27,5,946,2,0,0,90,1035,1035
5988,474,121,2365,64,29,1,732,2,1,0,79,1018,1018
1941,3125,253,5333,64,29,1,806,1,1,1,66,1025,1025
7628,4491,508,2344,64,22,2,326,2,0,0,71,1028,1028
1947,5579,1680,3012,64,25,5,963,1,0,0,66,1031,1031
7075,4381,1396,935,64,25,5,614,2,0,1,75,1027,1027
1946,5861,1311,1047,64,24,5,883,2,0,1,84,1032,1032
1943,661,550,2264,64,25,5,1004,1,1,0,68,1021,1021
1939,4228,694,1465,64,18,2,998,2,1,0,72,1026,1026
1950,2570,1375,295,64,27,5,857,2,0,1,79,1023,1023
6332,4667,752,1027,64,19,2,757,2,0,1,81,1029,1029
1944,2360,1406,2374,64,22,2,765,2,0,1,81,1022,1022
6865,2308,1276,5928,85,26,5,808,2,0,0,81,1204,1204
5668,6616,1480,7632,85,30,1,938,2,1,1,71,1219,1219
6124,6369,434,1854,85,24,5,936,2,1,1,71,1213,1213
9154,4383,394,5273,85,21,2,146,2,0,1,71,1209,1209
8707,52,1399,6951,85,21,2,181,2,0,1,71,1202,1202
5529,4197,1588,8724,85,32,1,982,2,0,0,81,1208,1208
6891,5167,1762,7214,85,23,5,506,2,0,0,75,1210,1210
9086,6419,954,8647,85,17,0,170,1,0,1,67,1217,1217
7875,2710,685,5628,85,21,2,560,2,0,0,73,1205,1205
1953,6047,1311,3000,85,25,5,984,2,1,0,81,1211,1211
8063,6083,32,7609,85,29,1,406,1,0,0,55,1212,1212
6451,6369,434,1552,85,24,5,819,2,1,1,71,1215,1215
8929,1144,115,4709,85,23,5,156,2,0,0,71,1203,1203
8824,6369,434,7572,85,22,2,317,2,0,1,71,1214,1214
1951,3274,1623,7639,85,28,1,967,1,1,0,66,1207,1207
1952,3274,1623,2591,85,23,5,1002,1,0,0,66,1206,1206
5070,6800,190,407,85,22,2,937,1,1,0,63,1220,1220
1954,6369,434,6960,85,19,2,866,2,1,1,71,1216,1216
6080,13,837,632,85,25,5,881,2,0,0,81,1201,1201
5968,6582,1058,6310,85,22,2,710,2,0,1,81,1218,1218
7200,2384,143,3042,14,27,5,741,2,0,1,75,282,282
1957,6963,1035,1621,14,31,1,1013,3,0,0,92,293,293
1956,7008,30,1551,14,30,1,1012,1,1,0,66,294,294
8774,2164,635,2279,14,30,1,276,1,0,0,69,280,280
1962,787,916,3909,14,28,1,1007,2,1,1,88,276,276
7059,2308,1276,1170,14,27,5,645,2,0,0,81,281,281
7850,3590,627,376,14,28,1,817,2,0,0,81,285,285
7480,4718,1627,1243,14,29,1,567,1,0,0,61,288,288
5834,6911,806,2953,14,22,2,836,2,0,1,77,292,292
1959,2644,190,1618,14,23,5,989,1,0,0,66,283,283
6013,4718,1627,2445,14,26,5,844,1,1,0,61,286,286
1960,102,820,3051,14,29,1,1009,2,0,0,79,275,275
6772,2177,1369,268,14,26,5,644,0,1,0,50,279,279
8300,2971,694,3826,14,22,2,399,2,0,0,79,284,284
8549,1738,626,2720,14,25,5,334,2,0,0,75,278,278
7364,4718,1627,8562,14,29,1,661,1,0,0,61,287,287
1961,6589,115,2662,14,30,1,953,3,1,1,97,291,291
1955,6146,1519,3954,14,24,5,955,2,1,1,77,289,289
8043,921,1276,1625,14,25,5,231,2,1,0,81,277,277
1958,6466,1446,213,14,24,5,1005,2,0,1,79,290,290
7206,2308,1276,6048,107,26,5,698,2,0,0,81,9216,9216
1919,3762,809,2852,107,31,1,959,2,0,0,71,9219,9219
4869,6281,1048,7068,107,24,5,744,1,1,1,66,9222,9222
4871,6872,1319,19,107,28,1,777,2,0,1,81,9226,9226
8809,666,1311,1458,107,27,5,208,2,0,1,71,9211,9211
4864,6715,909,4388,107,24,5,789,2,0,1,71,9224,9224
4868,408,897,8102,107,24,5,374,2,0,1,71,9209,9209
7138,3417,497,7575,107,27,5,572,1,0,1,68,9218,9218
7782,4183,1551,6053,107,25,5,306,2,0,1,79,9220,9220
4867,167,737,8643,107,25,5,870,2,0,1,75,9208,9208
7783,6373,1425,3122,107,19,2,486,2,0,1,75,9223,9223
4870,5616,427,7058,107,25,5,542,1,1,0,67,9221,9221
1918,665,1519,2112,107,28,1,974,2,0,0,86,9210,9210
4863,2191,742,4700,107,26,5,870,2,1,0,88,9215,9215
8175,6811,799,6032,107,24,5,140,2,0,1,81,9225,9225
4866,16,1506,3001,107,19,2,875,3,1,1,93,9207,9207
1917,1517,1220,8768,107,28,1,849,2,1,1,88,9213,9213
7693,2191,742,2141,107,26,5,372,3,1,0,92,9214,9214
4865,2620,1075,698,107,23,5,878,2,0,0,71,9217,9217
6714,897,1339,7114,107,25,5,468,2,1,1,81,9212,9212
9003,102,820,6702,55,32,1,200,2,0,0,81,854,854
2010,1517,1221,4850,55,30,1,925,2,1,1,88,856,856
7262,5061,1049,2993,55,24,5,546,2,0,1,75,868,868
1995,1517,1221,4720,55,29,1,962,2,1,0,88,857,857
2009,7091,1317,7230,55,24,5,847,2,0,1,73,873,873
8201,4230,1427,770,55,25,5,221,2,0,1,75,865,865
8202,2100,641,226,55,25,5,79,2,0,0,79,861,861
1998,102,820,7056,55,32,1,1006,2,0,0,81,855,855
8864,6594,1686,1823,55,21,2,144,2,0,1,81,871,871
6851,6637,1334,738,55,22,2,559,2,1,0,73,872,872
6850,5501,978,4844,55,24,5,534,2,0,1,79,870,870
1994,2276,1295,6749,55,26,5,985,2,1,1,81,862,862
2008,5486,1334,8691,117,27,5,474,1,1,1,67,869,869
2007,1748,187,2325,55,31,1,751,1,0,0,61,860,860
2006,3281,1491,5592,55,26,5,695,2,0,1,90,864,864
1997,4693,1209,7231,55,27,5,945,3,1,1,92,866,866
6567,4946,1564,7073,55,23,5,600,1,1,1,63,867,867
1996,2908,392,3580,55,25,5,916,2,1,0,88,863,863
1993,1724,371,4574,117,29,1,842,1,0,1,66,859,859
6789,1672,770,5452,55,30,1,343,1,0,0,55,858,858
1978,1710,1502,838,26,29,1,812,2,0,0,79,483,483
1973,4043,1710,595,26,25,5,897,2,0,1,71,488,488
1976,2891,1335,1540,26,21,2,495,1,1,1,66,485,485
1979,1517,1221,2345,26,31,1,811,2,1,1,86,481,481
1971,681,652,2564,26,28,1,805,2,1,1,81,479,479
1965,4938,1334,1106,26,23,5,950,1,0,1,68,494,494
1966,6409,814,1959,26,25,5,909,1,1,1,66,495,495
1974,4805,1534,3097,26,25,5,688,1,1,1,67,489,489
7844,102,1446,8842,26,32,1,694,2,0,0,84,477,477
1969,921,1311,1712,26,29,1,901,2,1,1,75,480,480
